ID,Age,Income,Score,Gender,Height_cm,Education,City,Marital_Status,Children,Join_Date,Credit_Score
1,40,9082,,Female,169,High School,Aswan,Single,1,2023-08-02,
2,33,8667,74,Female,184,Bachelor,Giza,Single,2,2020-08-16,636
3,42,7555,70,Male,155,Bachelor,Alexandria,Married,2,2020-02-21,666
4,53,6149,67,Male,163,High School,Luxor,Single,0,2024-02-27,621
5,32,6045,80,Female,177,Bachelor,Cairo,Single,0,2021-07-17,720
6,32,7527,80,Male,182,High School,Giza,Married,1,2021-05-16,675
7,53,5216,89,Male,176,Master,Aswan,Single,0,2021-04-02,582
8,44,2234,61,Male,163,Bachelor,Aswan,Single,4,2020-10-12,657
9,29,6984,70,Male,NULL,Bachelor,Cairo,Married,3,2024-02-17,645
10,41,3737,100,Male,174,Master,Cairo,Single,2,2020-07-28,699
11,29,4075,78,Male,173,High School,Cairo,Divorced,0,2023-10-17,582
12,29,6000,72,Female,169,Bachelor,Alexandria,Single,,2024-02-25,
13,,5809,60,Male,170,High School,Luxor,Single,3,2023-01-21,611
14,18,3175,82,Male,160,High School,Giza,Single,1,2020-06-27,581
15,18,6330,,Male,194,High School,Cairo,Married,,2023-04-24,588
16,28,7932,88,Male,171,Bachelor,Giza,Married,0,2022-05-14,627
17,22,3743,71,Female,NULL,Bachelor,Aswan,Divorced,0,2020-03-06,732
18,38,8544,80,Male,167,High School,Luxor,Married,2,2020-03-02,649
19,24,2879,100,Male,178,High School,Luxor,Divorced,0,2020-07-10,675
20,18,10234,91,Male,157,High School,Giza,Single,,2021-03-23,629
21,52,5177,63,Female,152,High School,Aswan,Single,2,2021-04-21,598
22,32,6291,36,Male,169,Bachelor,Aswan,Single,0,2022-10-31,637
23,35,2215,79,Male,190,Bachelor,Alexandria,Single,0,2023-05-17,645
24,18,5875,86,Female,182,Bachelor,Cairo,Divorced,0,2020-02-24,722
25,28,6456,58,Female,161,Bachelor,Aswan,Divorced,0,2023-02-23,687
26,36,5827,74,Female,175,Bachelor,Cairo,Single,1,11/02/2021,659
27,21,4873,71,Female,163,Bachelor,Cairo,Single,1,2024-01-06,569
28,39,4106,76,Female,174,High School,Giza,Married,0,2023-08-23,674
29,27,8261,66,Male,175,High School,Cairo,Single,2,2023-12-07,695
30,31,6061,94,Male,179,Bachelor,Giza,Divorced,0,2023-01-21,629
31,27,9081,77,Male,154,PhD,Luxor,Divorced,0,2022-05-09,679
32,57,4947,,Female,157,Bachelor,Aswan,Married,0,2021-03-27,688
33,34,5130,88,Female,NULL,High School,Giza,Single,2,2022-07-08,637
34,22,7631,56,Male,NULL,High School,Alexandria,Married,3,2023-04-21,634
35,,2754,94,Female,158,Bachelor,Giza,Divorced,0,2021-07-23,597
36,20,3573,89,Female,172,Bachelor,Cairo,Married,0,2024-07-15,698
37,37,8194,95,Female,160,High School,Alexandria,Married,,2024-11-15,700
38,18,3656,72,Male,192,Bachelor,Cairo,Divorced,3,2020-01-14,705
39,19,2361,67,Female,164,Bachelor,Alexandria,Single,3,2024-04-03,658
40,37,9737,76,Male,167,Bachelor,Giza,Married,1,2024-07-08,651
41,43,3212,,male,172,Bachelor,Cairo,Married,1,2020-11-22,684
42,37,6368,65,Female,154,Bachelor,Giza,Divorced,1,2023-11-30,673
43,33,6138,66,Male,175,High School,Aswan,Divorced,1,2022-05-15,652
44,,378,69,Female,173,Bachelor,Alexandria,Married,1,2021-11-27,704
45,18,5465,57,Female,166,Master,Luxor,Divorced,0,2021-07-23,735
46,26,6896,85,Male,172,Master,Luxor,Single,5,2020-11-14,762
47,29,6708,74,Female,174,High School,Giza,Married,0,2021-03-16,
48,47,7807,70,Male,184,Bachelor,Alexandria,Single,1,2024-04-12,668
49,39,5225,58,Female,195,PhD,Alexandria,Divorced,2,2021-11-20,675
50,18,7425,57,Male,159,Bachelor,Giza,Single,1,2020-07-28,665
51,38,4621,100,Male,157,high school,Luxor,Single,0,08/07/2020,732
52,30,3179,65,Female,171,Master,Aswan,Married,1,17/02/2022,670
53,26,3404,,Male,149,High School,Luxor,Divorced,3,2020-07-17,783
54,42,3075,77,Male,176,High School,Cairo,Divorced,1,2022-01-05,698
55,47,8019,33,Male,171,Bachelor,Luxor,Single,2,2024-10-01,572
56,46,2970,100,Female,173,High School,Cairo,Married,1,2021-12-05,674
57,24,6548,85,Male,166,High School,Cairo,Married,0,2023-05-21,627
58,31,5468,63,Female,172,Bachelor,Aswan,Single,0,2021-06-25,723
59,38,5794,74,Female,174,Bachelor,Aswan,Married,2,2024-07-10,648
60,46,8727,57,Male,172,Master,Luxor,Married,2,2020-03-29,614
61,29,5123,100,Female,156,Bachelor,Giza,Divorced,0,03/02/2024,662
62,32,7223,61,Female,171,Master,Luxor,Divorced,1,2022-07-29,634
63,21,6075,67,Male,188,Bachelor,Aswan,Divorced,2,2023-01-03,592
64,,5695,64,Female,172,Bachelor,Cairo,Divorced,1,2020-09-12,592
65,44,10599,76,Female,171,Bachelor,Cairo,Married,3,2022-02-14,693
66,,3117,95,Female,185,Bachelor,Giza,Single,0,2020-06-10,634
67,34,8578,,Male,162,Bachelor,Luxor,Married,2,2023-02-04,705
68,47,7312,69,Female,178,High School,cairo,Single,1,2021-08-23,550
69,39,5040,80,Male,164,Bachelor,Giza,Single,3,25/08/2024,640
70,27,9258,76,Male,180,Bachelor,Luxor,Single,3,2023-07-11,720
71,39,2303,60,male,NULL,High School,Alexandria,Married,1,2023-06-20,686
72,53,4956,100,Male,165,Master,Luxor,Single,1,2024-12-18,681
73,34,3583,95,Female,167,Bachelor,Giza,Divorced,0,2024-10-30,678
74,53,6824,77,Male,179,Bachelor,Alexandria,Married,2,2022-01-10,587
75,,3773,98,Female,151,High School,Giza,Single,2,2023-03-28,675
76,44,6866,93,Female,165,Bachelor,Giza,Single,0,2021-01-28,703
77,36,5627,76,Male,176,Master,Giza,Single,0,13/12/2023,603
78,31,5041,79,Male,166,High School,Cairo,Divorced,3,2020-05-22,595
79,36,6777,97,Female,171,Bachelor,Luxor,Divorced,1,2020-04-03,691
80,18,5462,60,Male,149,Bachelor,Aswan,Divorced,2,2023-09-16,660
81,32,3822,100,Male,161,Bachelor,Cairo,Divorced,1,2021-04-11,605
82,39,11602,71,Male,176,Bachelor,Luxor,Divorced,2,2024-05-02,742
83,52,5025,97,Female,162,Bachelor,Cairo,Married,0,2021-08-15,629
84,28,1564,74,Female,156,Bachelor,Luxor,Married,1,2020-06-12,687
85,25,4315,80,Female,NULL,Bachelor,Alexandria,Divorced,1,2024-10-17,553
86,28,3465,74,Female,175,High School,Aswan,Single,2,2021-04-21,663
87,45,7652,67,Male,159,Master,Alexandria,Married,3,2024-11-09,618
88,38,6643,70,Female,171,High School,cairo,Divorced,2,2020-07-25,680
89,28,6797,95,Female,159,Bachelor,Luxor,Divorced,1,2022-02-17,714
90,41,5259,40,Female,168,High School,Giza,Divorced,1,2021-07-23,
91,36,5441,56,Female,171,Master,Giza,Single,0,2022-07-17,644
92,46,5258,64,Female,161,Master,Giza,Married,0,2023-07-25,686
93,26,5837,58,Male,177,Bachelor,Giza,Married,0,2024-09-04,
94,31,7670,97,Female,178,High School,Aswan,Divorced,0,2022-01-17,645
95,30,6672,93,Male,172,Bachelor,Alexandria,Married,2,2020-11-29,643
96,18,7000,83,Female,174,High School,alex,Single,0,2022-01-28,596
97,38,6999,65,Female,155,Bachelor,Aswan,Single,0,2021-12-28,669
98,38,7768,95,Male,183,Master,Luxor,Married,0,2021-03-05,625
99,35,6576,51,Female,169,Bachelor,Aswan,Single,3,2023-10-04,615
100,32,6717,100,Male,160,Master,Aswan,Divorced,0,30/06/2021,
101,18,8377,64,Female,171,High School,Luxor,Divorced,2,2023-12-08,601
102,29,4669,71,Male,177,Master,Cairo,Divorced,2,2023-10-31,606
103,30,4288,68,Female,175,High School,Alexandria,Single,2,2023-08-20,713
104,25,3628,58,Male,159,High School,Aswan,Divorced,3,2020-05-26,640
105,33,6365,100,Female,177,Master,Luxor,Married,0,2023-06-01,606
106,,2292,86,Male,169,Bachelor,Luxor,Single,1,24/07/2023,735
107,57,6924,93,Female,175,Bachelor,Cairo,Married,0,2020-12-16,687
108,37,5781,56,Female,161,Master,alex,Divorced,0,2022-12-29,604
109,38,8269,77,male,180,Bachelor,Luxor,Single,4,2024-02-02,667
110,34,4656,82,Male,171,High School,Cairo,Single,3,2021-05-16,712
111,18,5593,79,Male,181,Bachelor,Cairo,Married,0,30/11/2020,622
112,34,8244,57,Male,154,High School,Luxor,Married,2,2022-08-04,660
113,35,8766,91,Female,155,High School,Luxor,Married,2,2022-02-16,561
114,64,4639,76,Male,167,Bachelor,Aswan,Married,0,2021-07-06,676
115,,6363,60,Male,184,Master,Aswan,Single,3,2023-08-03,
116,38,6588,47,Female,189,Bachelor,Alexandria,Divorced,0,2023-11-10,714
117,34,6747,84,Male,NULL,Bachelor,Luxor,Married,1,2023-02-14,644
118,20,5474,100,Male,170,Master,Giza,Single,2,2021-03-25,611
119,48,8562,59,Male,171,PhD,Giza,Married,1,03/11/2023,666
120,44,2220,77,Female,177,Bachelor,Alexandria,Divorced,0,2021-10-26,730
121,44,5157,,Male,178,High School,Luxor,Divorced,3,2024-09-22,637
122,24,6895,55,Female,158,High School,Cairo,Married,0,22/04/2024,653
123,51,6914,67,Female,170,Bachelor,Giza,Married,1,2024-05-08,601
124,18,8705,62,Female,149,High School,Aswan,Single,0,2020-04-24,616
125,42,8396,89,Female,178,Bachelor,Giza,Single,2,2021-04-14,635
126,61,5428,94,Female,166,Bachelor,Luxor,Single,0,2024-08-10,633
