Transaction ID,Customer_ID,Date,Items Purchased,Amount,Store_Location,Payment_Method,Discount_Applied,Member_Level,Satisfaction_Score
1001,,11/29/2023,"beef, Butter, COOKIES",35.86,Cairo,Credit Card,No,,6
1002,705.0,30 April 2023,"Rice, BREAD, cookies, ORANGE JUICE, SUGAR",129.26,Alexandria,Credit Card,1,Silver,7
1003,450.0,2023/06/11,"tomatoes, bread, beef, chips, cookies, apples",126.43,Alexandria,Credit Card,no,Platinum,3
1004,,,butter,11.29,Luxor,Cash,yes,Gold,6
1005,1954.0,2023-03-20,"cookies, rice, tea, yogurt, soda, cheese",168.37,Cairo,Wallet,FALSE,,10
1006,142.0,10/04/2023,"butter, soda, coffee, sugar, yogurt",74.87,Giza,Vodafone Cash,Yes,,9
1007,,20-10-2023,"bread, beef, eggs, cookies, tomatoes, soda",91.06,Cai,Debit Card,,Bronze,6
1008,1099.0,2023/10/09,"butter, bananas, yogurt, rice",21.48,Cairo,Credit Card,N,,7
1009,,2023/09/07,"rice, orange juice, pasta, bananas",77.92,Luxor City,cash,True,Bronze,2
1010,246.0,15-04-2023,"beef, shampoo, soap, bread, eggs",41.36,Giza,Dollar,True,Gold,6
1011,324.0,2023/10/11,"sugar, chips, pasta, soap",33.43,Cairo,Credit Card,yes,Gold,5
1012,,10/10/2023,"rice, bread, milk, tomatoes",114.51,Alexandria,Debit Card,Y,,5
1013,82.0,11/14/2023,"chicken, soda, beef",27.19,Alexandria,Cash,,Silver,2
1014,409.0,null,"onions, pasta, beef, milk",87.95,Luxor,cash,1,gold,10
1015,1242.0,12/06/2023,"CHEESE, apples, shampoo, Chicken, RICE",63.66,Mansoura,Debit Card,Y,Platinum,3
1016,1.0,2023/12/12,"pasta, chicken, bananas",74.7,Alexandria,Debit Card,False,Silver,4
1017,,2023/07/24,"soap, eggs, orange juice, bananas",0,Mansoura,Vodafone Cash,Y,,8
1018,1946.0,2023-09-01,"soap, cookies, tea, bananas",47.73,Luxor,Credit Card,yes,,5
1019,,2023-10-05,"beef, apples",29.47,Luxor,Cash,N,,6
1020,1712.0,09-12-2023,"sugar, cookies, soap, beef",66.74,Alexandria,Cash,True,Silver,3
1021,670.0,null,apples;rice;bananas,86.8,Cairo,Credit Card,1,,3
1022,953.0,09-06-2023,"rice, onions, yogurt, soap, detergent, cheese",171.22,ALEXANDRIA,Cash,,Bronze,10
1023,759.0,05-07-2023,tea,15.89,Luxor,Debit Card,N,Gold,4
1024,500.0,07/01/2023,"shampoo, soap, soda, apples",90.12,Giza,Card,0,Platinum,8
1025,829.0,06/30/2023,"beef, pasta, soda, shampoo, onions, coffee",48.1,Alexandria,Credit Card,No,Gold,4
1026,1451.0,07-01-2023,"butter, rice, bread, sugar, pasta",48.05,Cairo,Vodafone Cash,N,,1
1027,175.0,2023-09-25,"cheese, sugar",39.43,Mansoura,Cash,TRUE,Gold,3
1028,837.0,2023-04-12,"CHIPS, SOAP, Coffee, PASTA",110.84,ALEXANDRIA,Debit Card,N,,5
1029,1012.0,12/12/2023,"eggs, soap, bread, bananas",119.96,Giza,Credit Card,No,,10
1030,963.0,2023-01-19,"BANANAS, TOMATOES, SODA",87.76,Mansoura,Cash,N,,9
1031,1557.0,2023/09/06,chicken,10.98,Alexandria,Cash,TRUE,Bronze,2
1032,598.0,11 March 2023,"chips, rice, bananas, coffee, beef",76.87,Luxor,Cash,,Platinum,8
1033,1113.0,06/12/2023,"orange juice, tomatoes, chicken, chips",58.61,Alexandria,Dollar,,,8
1034,,2023/11/29,"bananas , detergent",36.68,Giza,Mobile Wallet,1,,5
1035,202.0,2023/10/26,"Chips, CHEESE, ORANGE JUICE, yogurt, Pasta, MILK",68.3,Cairo,Mobile Wallet,True,Gold,5
1036,1732.0,2023/07/22,"CHICKEN, APPLES, COFFEE",70.85,Cairo,Mobile Wallet,,Gold,4
1037,1351.0,2023-06-01,"butter , detergent , cheese , chips , bread , pasta",147.98,Giza,Debit Card,,Gold,6
1038,,02/16/2023,"soda, cookies",,Mansoura,Debit Card,False,platinum,9
1039,1302.0,23 December 2023,"CHIPS, PASTA, Detergent, BANANAS",35.45,Mansoura,Mobile Wallet,False,Silver,4
1040,1116.0,24-11-2023,"onions, bread, apples, rice, chicken, cheese",NULL,Alexandria,Visa,TRUE,Silver,0
1041,1636.0,2023-10-29,"cheese, soda",47.09,luxor,Mobile Wallet,0,Platinum,50
1042,64.0,2023/08/16,coffee,6.64,Giza,Debit Card,N,Platinum,2
1043,1477.0,2023-02-18,"bananas, orange juice",57.68,mansoura,Cash,,,1
1044,251.0,2023-10-12,"ONIONS, SODA, BANANAS, Cookies",100.72,Luxor,Cash,False,,5
1045,294.0,2023/06/24,soda | apples | eggs | butter | cookies,142.68,luxor,Credit Card,yes,,8
1046,560.0,27-09-2023,"tea, cheese",,LUXOR,Debit Card,Yes,,100
1047,1442.0,2023-01-22,"tea, sugar",25.65,Mansoura,Mobile Wallet,False,Silver,10
1048,895.0,2023/06/23,beef,20.83,Luxor,Debit Card,TRUE,,5
1049,1343.0,2023-10-24,yogurt,20.88,Luxor,Debit Card,Y,Gold,10
1050,926.0,16-02-2023,bread,18.86,Cairo,Credit Card,0,,1
1051,1463.0,2023/11/09,tea,15.22,Giza,Cash,False,Platinum,10
1052,290.0,2023-10-14,"pasta, detergent, chips",65.26,Lux,Debit Card,FALSE,Gold,8
1053,606.0,null,tea,19.93,Alexandria,Credit Card,Y,Silver,10
1054,1094.0,2023-08-14,"pasta, coffee",36.37,Alexandria,Credit Card,yes,Gold,2
1055,172.0,04/24/2023,"rice, orange juice",30.74,Mansoura,Credit Card,Yes,,6
1056,1621.0,2023-12-28,"butter, bread",10.95,Alexandria,Wallet,Yes,,4
1057,228.0,2023-11-11,"soap, sugar, milk, detergent",86.82,Luxor,Cash,Y,Bronze,6
1058,707.0,2023-01-23,"cookies, soda",51.52,Mansoura,Mobile Wallet,True,platinum,0
